"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JSON", "Ignore", "JavaScript", "Shell Script", "YAML", "MDX", "TypeScript JSX", "PostCSS", "XML", "HTML", "Prisma", "Properties", "SQL", "PHP", "Environment Variables", "Docker", "Diff", "comment", "blank", "total"
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/cron-webhooks-triggers.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 24
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/crowdin.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 43
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/e2e-app-store.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 94
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/e2e-embed-react.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 76
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/e2e-embed.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 83
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/e2e.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/labeler.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 98
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/lint.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/nextjs-bundle-analysis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 97
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/pr.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 109
